,id,full_name,first_name,last_name,is_active
385,1628417,Jaron Blossomgame,Jaron,Blossomgame,False
386,916,Corie Blount,Corie,Blount,False
387,1548,Mark Blount,Mark,Blount,False
388,203505,Vander Blue,Vander,Blue,False
389,1629129,Trevon Bluiett,Trevon,Bluiett,False
390,76189,Ray Blume,Ray,Blume,False
391,76190,Nelson Bobb,Nelson,Bobb,False
392,2800,Tony Bobbitt,Tony,Bobbitt,False
393,76191,Arlen Bockhorn,Arlen,Bockhorn,False
394,1631205,Buddy Boeheim,Buddy,Boeheim,True
395,76192,Tom Boerwinkle,Tom,Boerwinkle,False
396,2586,Keith Bogans,Keith,Bogans,False
397,203992,Bogdan Bogdanovic,Bogdan,Bogdanovic,True
398,202711,Bojan Bogdanovic,Bojan,Bogdanovic,True
399,177,Muggsy Bogues,Muggsy,Bogues,False
400,101106,Andrew Bogut,Andrew,Bogut,False
401,1564,Etdrick Bohannon,Etdrick,Bohannon,False
402,1629626,Bol Bol,Bol,Bol,True
403,76195,Manute Bol,Manute,Bol,False
404,1628413,Jonah Bolden,Jonah,Bolden,False
405,1629716,Marques Bolden,Marques,Bolden,True
406,76196,Bill Bolger,Bill,Bolger,False
407,1630195,Leandro Bolmaro,Leandro,Bolmaro,False
408,1627762,Joel Bolomboy,Joel,Bolomboy,False
409,76197,Doug Bolstorff,Doug,Bolstorff,False
410,76203,George H. Bon Salle,George H.,Bon Salle,False
411,1641737,Adem Bona,Adem,Bona,False
412,76198,Phil Bond,Phil,Bond,False
413,1603,Walter Bond,Walter,Bond,False
414,1629648,Jordan Bone,Jordan,Bone,False
415,1121,Dexter Boney,Dexter,Boney,False
416,1629067,Isaac Bonga,Isaac,Bonga,False
417,76201,Ron Bonham,Ron,Bonham,False
418,41,Anthony Bonner,Anthony,Bonner,False
419,2588,Matt Bonner,Matt,Bonner,False
420,1626164,Devin Booker,Devin,Booker,True
421,511,Melvin Booker,Melvin,Booker,False
422,202344,Trevor Booker,Trevor,Booker,False
423,200767,Josh Boone,Josh,Boone,False
424,76204,Ron Boone,Ron,Boone,False
425,1916,Calvin Booth,Calvin,Booth,False
426,1522,Keith Booth,Keith,Booth,False
427,76206,Bob Boozer,Bob,Boozer,False
428,2430,Carlos Boozer,Carlos,Boozer,False
429,2414,Curtis Borchardt,Curtis,Borchardt,False
430,76207,Jake Bornheimer,Jake,Bornheimer,False
431,1953,Lazaro Borrell,Lazaro,Borrell,False
432,76209,Costic Borsavage,Costic,Borsavage,False
433,76210,Vince Boryla,Vince,Boryla,False
434,2547,Chris Bosh,Chris,Bosh,False
435,76211,Jim Bostic,Jim,Bostic,False
436,76212,Lawrence Boston,Lawrence,Boston,False
437,1630527,Brandon Boston Jr.,Brandon,Boston Jr.,True
438,76213,Tom Boswell,Tom,Boswell,False
439,1628449,Chris Boucher,Chris,Boucher,True
440,1630547,James Bouknight,James,Bouknight,True
441,2257,Ruben Boumtje-Boumtje,Ruben,Boumtje-Boumtje,False
442,1631123,Jamaree Bouyea,Jamaree,Bouyea,True
443,76214,Don Boven,Don,Boven,False
444,1898,Cal Bowdler,Cal,Bowdler,False
445,1477,Bruce Bowen,Bruce,Bowen,False
446,1763,Ryan Bowen,Ryan,Bowen,False
447,1628968,Brian Bowen II,Brian,Bowen II,False
448,194,Anthony Bowie,Anthony,Bowie,False
449,76217,Sam Bowie,Sam,Bowie,False
450,1085,Ira Bowman,Ira,Bowman,False
451,1629065,Ky Bowman,Ky,Bowman,False
452,76219,Nate Bowman,Nate,Bowman,False
453,671,Donnie Boyce,Donnie,Boyce,False
454,76221,Dennis Boyd,Dennis,Boyd,False
455,76222,Fred Boyd,Fred,Boyd,False
456,76223,Ken Boyd,Ken,Boyd,False
457,1863,Earl Boykins,Earl,Boykins,False
